@relation 'datasets_45152_82501_insurance_claims-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R3-4,18,24-25-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 10'

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
245,2,691,62,0.917663,0.991903,0.261752,0.991903,0.738248,0.414201,0.936,1.059725,0.043521
245,2,690,63,0.916335,0.991903,0.262032,0.991903,0.737968,0.414552,0.935,1.060859,0.043935
245,2,689,64,0.915007,0.991903,0.262313,0.991903,0.737687,0.414903,0.934,1.061994,0.043939
245,2,688,65,0.913679,0.991903,0.262594,0.991903,0.737406,0.415254,0.933,1.063133,0.04539
245,2,687,66,0.912351,0.991903,0.262876,0.991903,0.737124,0.415606,0.932,1.064273,0.045559
245,2,686,67,0.911023,0.991903,0.263158,0.991903,0.736842,0.415959,0.931,1.065417,0.046747
245,2,685,68,0.909695,0.991903,0.263441,0.991903,0.736559,0.416313,0.93,1.066562,0.047228
245,2,684,69,0.908367,0.991903,0.263724,0.991903,0.736276,0.416667,0.929,1.06771,0.04761
245,2,683,70,0.907039,0.991903,0.264009,0.991903,0.735991,0.417021,0.928,1.068861,0.047698
245,2,682,71,0.90571,0.991903,0.264293,0.991903,0.735707,0.417376,0.927,1.070014,0.04772
245,2,681,72,0.904382,0.991903,0.264579,0.991903,0.735421,0.417732,0.926,1.071169,0.047769
245,2,680,73,0.903054,0.991903,0.264865,0.991903,0.735135,0.418089,0.925,1.072327,0.047856
245,2,679,74,0.901726,0.991903,0.265152,0.991903,0.734848,0.418446,0.924,1.073488,0.048069
244,3,679,74,0.901726,0.987854,0.264355,0.987854,0.735645,0.417094,0.923,1.070265,0.04814
244,3,678,75,0.900398,0.987854,0.264642,0.987854,0.735358,0.417451,0.922,1.071425,0.048421
244,3,677,76,0.89907,0.987854,0.264929,0.987854,0.735071,0.417808,0.921,1.072589,0.048521
243,4,677,76,0.89907,0.983806,0.26413,0.983806,0.73587,0.416452,0.92,1.069354,0.048586
242,5,677,76,0.89907,0.979757,0.26333,0.979757,0.73667,0.415094,0.919,1.066112,0.049033
242,5,676,77,0.897742,0.979757,0.263617,0.979757,0.736383,0.415451,0.918,1.067274,0.049439
242,5,675,78,0.896414,0.979757,0.263904,0.979757,0.736096,0.415808,0.917,1.068437,0.050219
242,5,674,79,0.895086,0.979757,0.264192,0.979757,0.735808,0.416165,0.916,1.069604,0.050309
242,5,673,80,0.893758,0.979757,0.264481,0.979757,0.735519,0.416523,0.915,1.070773,0.050366
242,5,672,81,0.89243,0.979757,0.26477,0.979757,0.73523,0.416882,0.914,1.071944,0.050456
242,5,671,82,0.891102,0.979757,0.26506,0.979757,0.73494,0.417241,0.913,1.073118,0.05094
242,5,670,83,0.889774,0.979757,0.265351,0.979757,0.734649,0.417601,0.912,1.074295,0.050953
242,5,669,84,0.888446,0.979757,0.265642,0.979757,0.734358,0.417962,0.911,1.075474,0.051643
242,5,668,85,0.887118,0.979757,0.265934,0.979757,0.734066,0.418323,0.91,1.076656,0.051706
242,5,667,86,0.88579,0.979757,0.266227,0.979757,0.733773,0.418685,0.909,1.077841,0.051821
242,5,666,87,0.884462,0.979757,0.26652,0.979757,0.73348,0.419048,0.908,1.079028,0.051991
242,5,665,88,0.883134,0.979757,0.266814,0.979757,0.733186,0.419411,0.907,1.080217,0.052099
242,5,664,89,0.881806,0.979757,0.267108,0.979757,0.732892,0.419775,0.906,1.08141,0.05256
242,5,663,90,0.880478,0.979757,0.267403,0.979757,0.732597,0.420139,0.905,1.082605,0.052852
242,5,662,91,0.87915,0.979757,0.267699,0.979757,0.732301,0.420504,0.904,1.083802,0.052904
242,5,661,92,0.877822,0.979757,0.267996,0.979757,0.732004,0.42087,0.903,1.085002,0.053026
242,5,660,93,0.876494,0.979757,0.268293,0.979757,0.731707,0.421236,0.902,1.086205,0.053593
242,5,659,94,0.875166,0.979757,0.26859,0.979757,0.73141,0.421603,0.901,1.087411,0.053666
242,5,658,95,0.873838,0.979757,0.268889,0.979757,0.731111,0.42197,0.9,1.088619,0.054063
242,5,657,96,0.87251,0.979757,0.269188,0.979757,0.730812,0.422339,0.899,1.08983,0.054122
242,5,656,97,0.871182,0.979757,0.269488,0.979757,0.730512,0.422707,0.898,1.091044,0.054317
242,5,655,98,0.869854,0.979757,0.269788,0.979757,0.730212,0.423077,0.897,1.09226,0.054338
242,5,654,99,0.868526,0.979757,0.270089,0.979757,0.729911,0.423447,0.896,1.093479,0.054576
242,5,653,100,0.867198,0.979757,0.270391,0.979757,0.729609,0.423818,0.895,1.094701,0.054845
242,5,652,101,0.86587,0.979757,0.270694,0.979757,0.729306,0.424189,0.894,1.095925,0.0551
241,6,652,101,0.86587,0.975709,0.269877,0.975709,0.730123,0.422807,0.893,1.092619,0.055211
241,6,651,102,0.864542,0.975709,0.270179,0.975709,0.729821,0.423178,0.892,1.093844,0.055266
241,6,650,103,0.863214,0.975709,0.270483,0.975709,0.729517,0.42355,0.891,1.095071,0.055275
241,6,649,104,0.861886,0.975709,0.270787,0.975709,0.729213,0.423923,0.89,1.096302,0.055595
241,6,648,105,0.860558,0.975709,0.271091,0.975709,0.728909,0.424296,0.889,1.097535,0.055723
241,6,647,106,0.85923,0.975709,0.271396,0.975709,0.728604,0.42467,0.888,1.098771,0.056116
241,6,646,107,0.857902,0.975709,0.271702,0.975709,0.728298,0.425044,0.887,1.10001,0.056491
240,7,646,107,0.857902,0.97166,0.27088,0.97166,0.72912,0.423654,0.886,1.096682,0.05676
240,7,645,108,0.856574,0.97166,0.271186,0.97166,0.728814,0.424028,0.885,1.097921,0.056813
240,7,644,109,0.855246,0.97166,0.271493,0.97166,0.728507,0.424403,0.884,1.099163,0.057481
240,7,643,110,0.853918,0.97166,0.271801,0.97166,0.728199,0.424779,0.883,1.100408,0.057498
240,7,642,111,0.85259,0.97166,0.272109,0.97166,0.727891,0.425155,0.882,1.101655,0.058363
240,7,641,112,0.851262,0.97166,0.272418,0.97166,0.727582,0.425532,0.881,1.102906,0.058501
240,7,640,113,0.849934,0.97166,0.272727,0.97166,0.727273,0.425909,0.88,1.104159,0.058646
240,7,639,114,0.848606,0.97166,0.273038,0.97166,0.726962,0.426288,0.879,1.105415,0.05872
240,7,638,115,0.847278,0.97166,0.273349,0.97166,0.726651,0.426667,0.878,1.106674,0.059098
240,7,637,116,0.84595,0.97166,0.27366,0.97166,0.72634,0.427046,0.877,1.107936,0.059202
240,7,636,117,0.844622,0.97166,0.273973,0.97166,0.726027,0.427427,0.876,1.109201,0.059294
240,7,635,118,0.843293,0.97166,0.274286,0.97166,0.725714,0.427807,0.875,1.110468,0.059345
240,7,634,119,0.841965,0.97166,0.2746,0.97166,0.7254,0.428189,0.874,1.111739,0.05935
240,7,633,120,0.840637,0.97166,0.274914,0.97166,0.725086,0.428571,0.873,1.113013,0.059402
240,7,632,121,0.839309,0.97166,0.275229,0.97166,0.724771,0.428954,0.872,1.114289,0.059555
240,7,631,122,0.837981,0.97166,0.275545,0.97166,0.724455,0.429338,0.871,1.115568,0.059559
240,7,630,123,0.836653,0.97166,0.275862,0.97166,0.724138,0.429722,0.87,1.11685,0.059726
240,7,629,124,0.835325,0.97166,0.27618,0.97166,0.72382,0.430108,0.869,1.118136,0.059805
240,7,628,125,0.833997,0.97166,0.276498,0.97166,0.723502,0.430493,0.868,1.119424,0.060123
240,7,627,126,0.832669,0.97166,0.276817,0.97166,0.723183,0.43088,0.867,1.120715,0.060143
240,7,626,127,0.831341,0.97166,0.277136,0.97166,0.722864,0.431267,0.866,1.122009,0.060152
240,7,625,128,0.830013,0.97166,0.277457,0.97166,0.722543,0.431655,0.865,1.123306,0.060282
240,7,624,129,0.828685,0.97166,0.277778,0.97166,0.722222,0.432043,0.864,1.124606,0.060378
240,7,623,130,0.827357,0.97166,0.2781,0.97166,0.7219,0.432432,0.863,1.12591,0.060382
240,7,622,131,0.826029,0.97166,0.278422,0.97166,0.721578,0.432822,0.862,1.127216,0.060525
240,7,621,132,0.824701,0.97166,0.278746,0.97166,0.721254,0.433213,0.861,1.128525,0.060542
240,7,620,133,0.823373,0.97166,0.27907,0.97166,0.72093,0.433604,0.86,1.129837,0.060804
240,7,619,134,0.822045,0.97166,0.279395,0.97166,0.720605,0.433996,0.859,1.131152,0.061076
239,8,619,134,0.822045,0.967611,0.278555,0.967611,0.721445,0.432579,0.858,1.127752,0.061209
239,8,618,135,0.820717,0.967611,0.27888,0.967611,0.72112,0.432971,0.857,1.129068,0.061579
239,8,617,136,0.819389,0.967611,0.279206,0.967611,0.720794,0.433364,0.856,1.130387,0.061629
239,8,616,137,0.818061,0.967611,0.279532,0.967611,0.720468,0.433757,0.855,1.131709,0.062588
238,9,616,137,0.818061,0.963563,0.278689,0.963563,0.721311,0.432334,0.854,1.128294,0.062906
238,9,615,138,0.816733,0.963563,0.279015,0.963563,0.720985,0.432727,0.853,1.129616,0.062907
238,9,614,139,0.815405,0.963563,0.279343,0.963563,0.720657,0.433121,0.852,1.130942,0.06311
238,9,613,140,0.814077,0.963563,0.279671,0.963563,0.720329,0.433515,0.851,1.132271,0.063858
238,9,612,141,0.812749,0.963563,0.28,0.963563,0.72,0.433911,0.85,1.133603,0.064397
238,9,611,142,0.811421,0.963563,0.28033,0.963563,0.71967,0.434307,0.849,1.134938,0.064496
238,9,610,143,0.810093,0.963563,0.28066,0.963563,0.71934,0.434703,0.848,1.136277,0.064678
238,9,609,144,0.808765,0.963563,0.280992,0.963563,0.719008,0.435101,0.847,1.137618,0.064996
238,9,608,145,0.807437,0.963563,0.281324,0.963563,0.718676,0.435499,0.846,1.138963,0.065128
238,9,607,146,0.806109,0.963563,0.281657,0.963563,0.718343,0.435897,0.845,1.140311,0.065473
238,9,606,147,0.804781,0.963563,0.281991,0.963563,0.718009,0.436297,0.844,1.141662,0.065609
238,9,605,148,0.803453,0.963563,0.282325,0.963563,0.717675,0.436697,0.843,1.143016,0.066027
238,9,604,149,0.802125,0.963563,0.28266,0.963563,0.71734,0.437098,0.842,1.144374,0.066114
238,9,603,150,0.800797,0.963563,0.282996,0.963563,0.717004,0.4375,0.841,1.145735,0.066273
238,9,602,151,0.799469,0.963563,0.283333,0.963563,0.716667,0.437902,0.84,1.147099,0.066605
238,9,601,152,0.798141,0.963563,0.283671,0.963563,0.716329,0.438306,0.839,1.148466,0.06673
238,9,600,153,0.796813,0.963563,0.28401,0.963563,0.71599,0.43871,0.838,1.149836,0.066858
238,9,599,154,0.795485,0.963563,0.284349,0.963563,0.715651,0.439114,0.837,1.15121,0.067131
238,9,598,155,0.794157,0.963563,0.284689,0.963563,0.715311,0.43952,0.836,1.152587,0.067214
238,9,597,156,0.792829,0.963563,0.28503,0.963563,0.71497,0.439926,0.835,1.153967,0.067909
238,9,596,157,0.791501,0.963563,0.285372,0.963563,0.714628,0.440333,0.834,1.155351,0.067968
238,9,595,158,0.790173,0.963563,0.285714,0.963563,0.714286,0.440741,0.833,1.156738,0.068112
238,9,594,159,0.788845,0.963563,0.286058,0.963563,0.713942,0.441149,0.832,1.158128,0.068361
238,9,593,160,0.787517,0.963563,0.286402,0.963563,0.713598,0.441558,0.831,1.159522,0.068383
